TRIO0269	HG02650	HG02648	HG02649
TRIO0270	HG02653	HG02651	HG02652
TRIO0271	HG02656	HG02654	HG02655
TRIO0272	HG02659	HG02657	HG02658
TRIO0273	HG02662	HG02660	HG02661
TRIO0274	HG02668	HG02666	HG02667
TRIO0275	HG02677	HG02675	HG02676
TRIO0276	HG02680	HG02678	HG02679
TRIO0277	HG02683	HG02681	HG02682
TRIO0278	HG02686	HG02684	HG02685
TRIO0279	HG02689	HG02687	HG02688
TRIO0280	HG02692	HG02690	HG02691
TRIO0281	HG02698	HG02696	HG02697
TRIO0282	HG02701	HG02699	HG02700
TRIO0283	HG02704	HG02702	HG02703
TRIO0284	HG02717	HG02715	HG02716
TRIO0285	HG02723	HG02721	HG02722
TRIO0286	HG02726	HG02724	HG02725
TRIO0287	HG02729	HG02727	HG02728
TRIO0288	HG02735	HG02733	HG02734
TRIO0289	HG02738	HG02736	HG02737
TRIO0290	HG02761	HG02759	HG02760
TRIO0291	HG02764	HG02762	HG02763
TRIO0292	HG02770	HG02768	HG02769
TRIO0293	HG02773	HG02771	HG02772
TRIO0294	HG02776	HG02774	HG02775
TRIO0295	HG02785	HG02783	HG02784
TRIO0296	HG02788	HG02786	HG02787
TRIO0297	HG02791	HG02789	HG02790
TRIO0298	HG02794	HG02792	HG02793
TRIO0299	HG02800	HG02798	HG02799
TRIO0300	HG02806	HG02804	HG02805
TRIO0301	HG02809	HG02807	HG02808
TRIO0302	HG02812	HG02810	HG02811
TRIO0303	HG02815	HG02813	HG02814
TRIO0304	HG02818	HG02816	HG02817
TRIO0305	HG02821	HG02819	HG02820
TRIO0306	HG02838	HG02836	HG02837
TRIO0307	HG02841	HG02839	HG02840
TRIO0308	HG02853	HG02851	HG02852
TRIO0309	HG02856	HG02854	HG02855
TRIO0310	HG02862	HG02860	HG02861
TRIO0311	HG02871	HG02869	HG02870
TRIO0312	HG02880	HG02878	HG02879
TRIO0313	HG02883	HG02881	HG02882
TRIO0314	HG02886	HG02884	HG02885
TRIO0315	HG02889	HG02887	HG02888
TRIO0316	HG02892	HG02890	HG02891
TRIO0317	HG02897	HG02895	HG02896
TRIO0318	HG02924	HG02923	HG02922
TRIO0319	HG02945	HG02944	HG02943
TRIO0320	HG02948	HG02947	HG02946
TRIO0321	HG02954	HG02953	HG02952
TRIO0322	HG02966	HG02965	HG02964
TRIO0323	HG02972	HG02971	HG02970
TRIO0324	HG02975	HG02973	HG02974
TRIO0325	HG02978	HG02977	HG02976
TRIO0326	HG02980	HG02981	HG02979
TRIO0327	HG02984	HG02982	HG02983
TRIO0328	HG03008	HG03006	HG03007
TRIO0329	HG03017	HG03015	HG03016
TRIO0330	HG03026	HG03024	HG03025
TRIO0331	HG03029	HG03027	HG03028
TRIO0332	HG03035	HG03033	HG03034
TRIO0333	HG03041	HG03039	HG03040
TRIO0334	HG03047	HG03045	HG03046
TRIO0335	HG03050	HG03048	HG03049
TRIO0336	HG03056	HG03054	HG03055
TRIO0337	HG03065	HG03063	HG03064
TRIO0338	HG03098	HG03096	HG03097
TRIO0339	HG03101	HG03100	HG03099
TRIO0340	HG03110	HG03109	HG03108
TRIO0341	HG03113	HG03112	HG03111
TRIO0342	HG03116	HG03115	HG03114
TRIO0343	HG03119	HG03118	HG03117
TRIO0344	HG03122	HG03120	HG03121
TRIO0345	HG03125	HG03124	HG03123
TRIO0346	HG03128	HG03127	HG03126
TRIO0347	HG03131	HG03130	HG03129
TRIO0348	HG03134	HG03133	HG03132
TRIO0349	HG03137	HG03136	HG03135
TRIO0350	HG03161	HG03160	HG03159
TRIO0351	HG03164	HG03163	HG03162
TRIO0352	HG03170	HG03169	HG03168
TRIO0353	HG03191	HG03190	HG03189
TRIO0354	HG03197	HG03196	HG03195
TRIO0355	HG03200	HG03199	HG03198
TRIO0356	HG03230	HG03228	HG03229
TRIO0357	HG03236	HG03234	HG03235
TRIO0358	HG03239	HG03237	HG03238
TRIO0359	HG03242	HG03240	HG03241
TRIO0360	HG03248	HG03246	HG03247
TRIO0361	HG03251	HG03249	HG03250
TRIO0362	HG03260	HG03258	HG03259
TRIO0363	HG03269	HG03268	HG03267
TRIO0364	HG03272	HG03271	HG03270
TRIO0365	HG03296	HG03295	HG03294
TRIO0366	HG03299	HG03298	HG03297
TRIO0367	HG03302	HG03301	HG03300
TRIO0368	HG03305	HG03304	HG03303
TRIO0369	HG03308	HG03307	HG03306
TRIO0370	HG03310	HG03311	HG03309
TRIO0371	HG03314	HG03313	HG03312
TRIO0372	HG03344	HG03343	HG03342
TRIO0373	HG03350	HG03352	HG03351
TRIO0374	HG03368	HG03367	HG03366
TRIO0375	HG03371	HG03370	HG03369
TRIO0376	HG03374	HG03373	HG03372
TRIO0377	HG03438	HG03469	HG03470
TRIO0378	HG03453	HG03451	HG03452
TRIO0379	HG03456	HG03454	HG03455
TRIO0380	HG03480	HG03478	HG03479
TRIO0381	HG03486	HG03484	HG03485
TRIO0382	HG03489	HG03487	HG03488
TRIO0383	HG03492	HG03490	HG03491
TRIO0384	HG03516	HG03515	HG03514
TRIO0385	HG03519	HG03518	HG03517
TRIO0386	HG03522	HG03521	HG03520
TRIO0387	HG03540	HG03538	HG03539
TRIO0388	HG03576	HG03574	HG03575
TRIO0389	HG03579	HG03577	HG03578
TRIO0390	HG03584	HG03582	HG03583
TRIO0391	HG03596	HG03594	HG03595
TRIO0392	HG03605	HG03606	HG03607
TRIO0393	HG03617	HG03615	HG03616
TRIO0394	HG03620	HG03618	HG03619
TRIO0395	HG03626	HG03624	HG03625
TRIO0396	HG03635	HG03633	HG03634
TRIO0397	HG03641	HG03639	HG03640
TRIO0398	HG03651	HG03649	HG03650
TRIO0399	HG03654	HG03652	HG03653
TRIO0400	HG03669	HG03667	HG03668
TRIO0401	HG03683	HG03682	HG03684
TRIO0402	HG03688	HG03885	HG03886
TRIO0403	HG03701	HG03699	HG03700
TRIO0404	HG03704	HG03702	HG03703
TRIO0405	HG03707	HG03705	HG03706
TRIO0406	HG03710	HG03708	HG03709
TRIO0407	HG03719	HG03725	HG03722
TRIO0408	HG03732	HG03727	HG03721
TRIO0409	HG03763	HG03761	HG03762
TRIO0410	HG03795	HG03794	HG03793
TRIO0411	HG03798	HG03797	HG03796
TRIO0412	HG03801	HG03800	HG03799
